"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","Total de contatos por mensagem","Novos contatos de mensagem",Término,"Configuração de atribuição","Custo por compra (BRL)","Índice de resultados","ROAS de resultados","Indicador de valor do resultado","Valor dos resultados",Visualizações,"CPC (custo por clique no link) (BRL)","Cliques únicos (todos)","Custo por clique único (todos) (BRL)","CTR único (todos)","CTR único (taxa de cliques no link)",Leads,"ROAS (retorno sobre o investimento em publicidade) da doação","ROAS (retorno sobre o investimento em publicidade) das compras","Visualizações da página de destino","Valor de conversão de leads","Custo por visualização da página de destino (BRL)","Custo por lead (BRL)"
2026-01-01,2026-04-09,"20/08 [IN][J][LEAD][CATALOGO][VENDA] - Imóveis 600k a 800k",inactive,48,conversions:contact_website,16.29916667,30.6,Diário,782.36,103773,19452,5.334824,7.539148,7733,5,4,Contínuo,"Configurações de vários atributos",,0.04625481,,,,103884,0.101172,2382,0.328447,12.245527,11.042566,21,,,7063,,0.110769,37.255238
2026-01-01,2026-04-09,"25/08 [IN][J][LEAD][VENDA][WHATSAPP] - IMÓVEIS ALTO PADRÃO",inactive,39,actions:onsite_conversion.messaging_conversation_started_7d,16.49384615,25.5,Diário,643.26,38874,12909,3.011387,16.547307,107,46,30,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.10032412,,,,37149,6.011776,360,1.786833,2.788752,0.766907,1,,,,,,643.26
2026-01-01,2026-04-09,"25/08 [IN][J][RECONHECIMENTO] - Institucional",inactive,154536,reach,1.64265932,10,Diário,253.85,235038,154536,1.520927,1.080038,6,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,65.74936819,,,,217076,42.308333,167,1.52006,0.108065,0.003883,2,,,,,,126.925
2026-01-01,2026-04-09,"26/08 [IN][J][LEAD][ALUGUEL][WHATSAPP] - IMÓVEIS COMERCIAIS",inactive,85,actions:onsite_conversion.messaging_conversation_started_7d,9.15952941,30.6,Diário,778.56,88491,41694,2.122392,8.798183,601,98,79,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.09605497,,,,87913,1.295441,948,0.821266,2.273708,1.352713,1,,,2,,389.28,778.56
2026-01-01,2026-04-09,"04/09 [IN][J][SITE][CATALOGO] - Todos os imóveis",inactive,482,conversions:contact_website,3.2079668,60.3,Diário,1546.24,236342,39748,5.94601,6.542384,30928,18,14,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.20394175,1.29346026,conversion_values:contact_website,2000,236742,0.049995,6093,0.253773,15.329073,14.71269,244,,,28801,,0.053687,6.337049
2026-01-01,2026-04-09,"[IN][J][LEAD][SITE][LANÇAMENTO] - Novam New Life",inactive,12,actions:offsite_conversion.fb_pixel_lead,21.87,10.3,Diário,262.44,35455,9697,3.656285,7.402059,246,3,,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,0.03384572,,,,31215,1.066829,723,0.362988,7.455914,2.320305,12,,,8,,32.805,21.87
2026-01-01,2026-04-09,"[IN][J][LEAD][FORM][LANÇAMENTO] - Gran Reserva",inactive,102,actions:leadgen.other,14.61539216,30,Diário,1490.77,166704,41643,4.00317,8.942617,1557,2,2,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.06118629,,,,158391,0.957463,1454,1.025289,3.491583,3.138583,106,,,46,,32.408043,14.063868
2026-01-01,2026-04-09,"[IN][J][LEAD][VENDA][WHATSAPP] - IMÓVEIS BAIXO PADRÃO",inactive,39,actions:onsite_conversion.messaging_conversation_started_7d,13.6425641,25,Diário,532.06,44190,15890,2.780994,12.040281,389,47,32,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.08825526,,,,44285,1.367764,806,0.660124,5.072373,1.988672,,,,1,,532.06,
2026-01-01,2026-04-09,"24/10 [IN] [A] [CADASTRO] [LANÇAMENTO] - San Vitale",inactive,143,actions:leadgen.other,17.57020979,30,Diário,2512.54,511373,81794,6.251962,4.913322,3540,3,3,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.02796393,,,,511330,0.709757,3003,0.836677,3.671418,3.456244,156,,,88,,28.551591,16.106026
2026-01-01,2026-04-09,"24/10 [IN] [A] [CADASTRO] [LANÇAMENTO] - Novam",inactive,76,actions:leadgen.other,18.61486842,55.4,Diário,1414.73,128785,47769,2.695995,10.985208,842,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.05901308,,,,123393,1.680202,1260,1.122802,2.637694,1.655886,76,,,44,,32.152955,18.614868
2026-01-01,2026-04-09,"31/10 [IN] [A] [CADASTRO] [LANÇAMENTO] - Jd. das Oliveiras",inactive,69,actions:leadgen.other,14.93536232,40.6,Diário,1030.54,279462,69394,4.027178,3.687585,1471,1,1,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.0246903,,,,279758,0.700571,1402,0.73505,2.020348,1.91371,69,,,35,,29.444,14.935362
2026-01-01,2026-04-09,"03/11 [IN] [A] [CADASTRO] [LANÇAMENTO] - Reserva Jequitibá",inactive,40,actions:leadgen.other,25.84075,40.6,Diário,1033.63,66957,26524,2.524393,15.437221,801,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.05973983,,,,64454,1.290424,864,1.196331,3.257427,2.64666,40,,,17,,60.801765,25.84075
2026-01-01,2026-04-09,"19/11 [IN] [A] [MENSAGEM] [LOCAÇÃO] - Casas",inactive,64,actions:onsite_conversion.messaging_conversation_started_7d,10.15640625,25,Diário,650.01,33279,11552,2.8808,19.532137,228,82,45,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.19231347,,,,32029,2.850921,825,0.787891,7.141621,1.610111,,,,9,,72.223333,
2026-01-01,2026-04-09,"18/12 [IN] [A] [LOCAÇÃO] [MENSAGEM] - Estudantes",inactive,128,actions:onsite_conversion.messaging_conversation_started_7d,4.01375,20,Diário,513.76,39597,23554,1.681116,12.97472,237,132,127,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.32325681,,,,39927,2.167764,736,0.698043,3.124735,0.97648,,,,3,,171.253333,
2026-01-01,2026-04-09,"30/12 [IN] [JK] [WHATSAPP] - CAMPANHA VERÃO",inactive,57,actions:onsite_conversion.messaging_conversation_started_7d,3.96859649,30,Diário,226.21,15042,6261,2.402492,15.038559,293,58,44,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.37893897,,,,15052,0.772048,305,0.741672,4.871426,3.945057,1,,,12,,18.850833,226.21
2026-01-01,2026-04-09,"23/01 [IN] [JK] [VENDA] [MENSAGEM] [37774] - Casas em condomínio",inactive,32,actions:onsite_conversion.messaging_conversation_started_7d,17.085,30,Diário,546.72,15232,5534,2.752439,35.892857,71,38,26,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.21008403,,,,14510,7.700282,668,0.818443,12.070835,1.192627,,,,2,,273.36,
2026-01-01,2026-04-09,"23/01 [IN] [JK] [CADASTRO] [LANÇAMENTO] - Jd. das Oliveiras",inactive,502,actions:leadgen.other,3.15466135,20,Diário,1583.64,85749,47487,1.805736,18.46832,2014,5,4,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.58542957,,,,85585,0.786316,2513,0.630179,5.291975,3.868427,502,,,333,,4.755676,3.154661
2026-01-01,2026-04-09,"23/01 [IN] [JK] [LOCAÇÃO] [MENSAGEM] [CARROSSEL] - Casas em condomínio",inactive,13,actions:onsite_conversion.messaging_conversation_started_7d,34.18538462,30,Diário,444.41,15503,5468,2.835223,28.666065,126,27,9,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.08385474,,,,15586,3.527063,160,2.777563,2.926116,1.938552,1,,,1,,444.41,444.41
2026-01-01,2026-04-09,"23/01 [IN] [JK] [VENDA] [MENSAGEM] [CARROSSEL] - Casas",inactive,27,actions:onsite_conversion.messaging_conversation_started_7d,23.98296296,60,Diário,647.54,22822,7754,2.943255,28.373499,287,42,19,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.1183069,,,,22977,2.256237,315,2.055683,4.062419,2.940418,,,,11,,58.867273,
2026-01-01,2026-04-09,"23/01 [IN] [JK] [LOCAÇÃO] [MENSAGEM] [CARROSSEL] - Casas",inactive,143,actions:onsite_conversion.messaging_conversation_started_7d,3.79587413,30,Diário,542.81,32134,10473,3.068271,16.892077,721,165,114,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.44501151,,,,32253,0.752857,800,0.678513,7.63869,5.098826,,,,35,,15.508857,
2026-01-01,2026-04-09,"23/01 [IN][JK][RECONHECIMENTO] - Institucional",inactive,491926,reach,2.2304371,30,Diário,1097.21,900502,491926,1.830564,1.218443,661,3,2,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,54.62797417,,,,910165,1.659924,778,1.410296,0.158154,0.132744,2,,,,,,548.605
2026-01-01,2026-04-09,"23/01 [IN] [JK] [VENDA] [MENSAGEM] [36749] - Casas em condomínio",inactive,16,actions:onsite_conversion.messaging_conversation_started_7d,27.853125,30,Diário,445.65,11669,4922,2.370784,38.190933,48,28,11,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.13711543,,,,10868,9.284375,303,1.470792,6.156034,0.893946,,,,,,,
2026-01-01,2026-04-09,"23/01 [IN] [JK] [VENDA] [MENSAGEM] [36749] - Casas em condomínio",inactive,17,actions:onsite_conversion.messaging_conversation_started_7d,12.31176471,30,Diário,209.3,5196,3041,1.708648,40.280985,30,24,14,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.32717475,,,,4655,6.976667,150,1.395333,4.932588,0.92075,,,,,,,
2026-01-01,2026-04-09,"13/02 [IN] [JK] [VENDA] [MENSAGEM] [37743] - Casa",inactive,31,actions:onsite_conversion.messaging_conversation_started_7d,18.02516129,30,Diário,558.78,30075,13917,2.161026,18.579551,228,28,25,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.10307564,,,,30151,2.450789,301,1.856412,2.162822,1.401164,,,,,,,
2026-01-01,2026-04-09,"13/02 [IN] [JK] [VENDA] [MENSAGEM] [36233] - Casa",inactive,12,actions:onsite_conversion.messaging_conversation_started_7d,48.1325,60,Diário,577.59,27712,14274,1.941432,20.842595,140,11,5,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.04330254,,,,27901,4.125643,194,2.977268,1.359114,0.924758,,,,,,,
2026-01-01,2026-04-09,"Aluguel - 31608",inactive,,,,20,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][VENDA][WHATSAPP] - IMÓVEIS MÉDIO PADRÃO",inactive,,,,25,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"18/12 [IN] [A] [LOCAÇÃO] [ALCANCE] - Estudantes",inactive,0,reach,,20,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"18/12 [IN] [A] [LOCAÇÃO] [MENSAGEM] - Captação de imóveis",inactive,,,,20,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
